PLAY #,DN,playNum,ydLine,DOWN,DIST,DD,GN/LS,PLAY TYPE,OFF FORM,OFF PLAY,PREVIOUS PLAY,prevPlay,currentPlay,Down/Dist Scenarios,Game Changing Scenarios,Run/Pass Scenarios
202.0,2.0,202.0,-27.0,2.0,2.0,2.02.0,1.0,Run,SPREAD,IZ3 RD,IZ3 RD,IZ3 RD,IZ3 RD,0,0,Run < 5 yds
203.0,3.0,203.0,-28.0,3.0,1.0,3.01.0,47.0,Run,QUADS BONE,CTR,IZ3 RD,IZ3 RD,CTR,0,Run/Pass > 30 yds,Run < 10 yds
204.0,1.0,204.0,25.0,1.0,10.0,1.010.0,7.0,Run,KINGS OPEN,IZ,CTR,CTR,IZ,3rd Down Conversion,0,Run for 1st Down
206.0,2.0,206.0,18.0,2.0,3.0,2.03.0,0.0,Run,TWINS TITE HARDER,IZ,IZ,IZ,IZ,0,0,Run < 5 yds
208.0,1.0,208.0,9.0,1.0,9.0,1.09.0,4.0,Run,KINGS OPEN,IZ,IZ,IZ,IZ,2nd Down Conversion,0,Run < 5 yds
210.0,2.0,210.0,8.0,2.0,8.0,2.08.0,6.0,Run,QUEENS TITE,JET SWEEP,IZ,IZ,JET SWEEP,0,0,0
212.0,3.0,212.0,2.0,3.0,2.0,3.02.0,1.0,Run,TWINS TITE HARDER,IZ,JET SWEEP,JET SWEEP,IZ,0,0,Run < 5 yds
213.0,4.0,213.0,1.0,4.0,1.0,4.01.0,4.0,Run,QUEENS TITE,QB SNEAK,IZ,IZ,QB SNEAK,0,0,Run < 5 yds
220.0,1.0,220.0,-45.0,1.0,10.0,1.010.0,5.0,Run,SPREAD,IZ,QB SNEAK,QB SNEAK,IZ,4th and Short Conversion,0,Run for 1st Down
221.0,2.0,221.0,50.0,2.0,5.0,2.05.0,3.0,Run,KINGS OPEN,OZ,IZ,IZ,OZ,0,0,Run < 5 yds
223.0,3.0,223.0,47.0,3.0,2.0,3.02.0,3.0,Run,TWINS TITE HARDER,IZ RD,OZ,OZ,IZ RD,0,0,Run < 5 yds
225.0,1.0,225.0,44.0,1.0,10.0,1.010.0,4.0,Run,TWINS TITE HARDER,JET SWEEP,IZ RD,IZ RD,JET SWEEP,3rd Down Conversion,0,Run for 1st Down
227.0,1.0,227.0,44.0,1.0,10.0,1.010.0,4.0,Run,SPREAD,IZ RD,JET SWEEP,JET SWEEP,IZ RD,0,0,Run for 1st Down
229.0,2.0,229.0,44.0,2.0,10.0,2.010.0,4.0,Run,KINGS OPEN,IZ RD,IZ RD,IZ RD,IZ RD,0,0,Run < 5 yds
231.0,3.0,231.0,41.0,3.0,7.0,3.07.0,4.0,Run,QUEENS TITE,JET SWEEP,IZ RD,IZ RD,JET SWEEP,0,0,Run < 5 yds
241.0,1.0,241.0,-48.0,1.0,10.0,1.010.0,4.0,4.0,VICTORY,KNEEL,JET SWEEP,JET SWEEP,KNEEL,3rd Down Conversion,0,Run for 1st Down
